ID,DATE,TIME,ROLE,COMPANY_NAME,LOCATION,LINK
4720,2024-04-10,0 days 07:30:45,Remote Recruiter Nursing Healthcare,Clinical Management Consultants,"Durham, NC",https://www.linkedin.com/jobs/view/remote-recruiter-nursing-healthcare-at-clinical-management-consultants-3891574209?position=34&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=5oNE%2BSFO2GeLEqCIJ3pNhA%3D%3D&trk=public_jobs_jserp-result_search-car
4721,2024-04-10,0 days 07:30:45,Population Health Data Strategist,Software Technology Inc.,"Raleigh, NC",https://www.linkedin.com/jobs/view/population-health-data-strategist-at-software-technology-inc-3891576002?position=35&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=KQBPnAfE8HSVA4VKyJrcRQ%3D%3D&trk=public_jobs_jserp-result_search-card
4722,2024-04-10,0 days 07:30:45,Healthcare Recruiter,Planet Healthcare,"Raleigh, NC",https://www.linkedin.com/jobs/view/healthcare-recruiter-at-planet-healthcare-3886896331?position=37&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=blG7dEF4PDCPAd%2BtDc5faw%3D%3D&trk=public_jobs_jserp-result_search-card
4723,2024-04-10,0 days 07:30:45,Personal Care Assistant (PCA) second shift,SanStone Health & Rehabilitation,"Wilkesboro, NC",https://www.linkedin.com/jobs/view/personal-care-assistant-pca-second-shift-at-sanstone-health-rehabilitation-3891531398?position=39&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=X5F9i3%2FmUT81JlSaCaU1Lw%3D%3D&trk=public_jobs_jserp-result_search
4724,2024-04-10,0 days 07:30:45,Nutrition Care Associate - Patient Care / Nutrition Care / Full Time 6:30a-6:30p,Catawba Valley Health System,"North Carolina, United States",https://www.linkedin.com/jobs/view/nutrition-care-associate-patient-care-nutrition-care-full-time-6-30a-6-30p-at-catawba-valley-health-system-3883465198?position=40&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=0%2Fj619M0qcILXh4Cyopl6w%3D%3D&trk
4725,2024-04-10,0 days 07:30:45,"Clinical Care Manager - RN, LPN or RMA",EMrecruits,"Fayetteville, NC",https://www.linkedin.com/jobs/view/clinical-care-manager-rn-lpn-or-rma-at-emrecruits-3889710884?position=41&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=RYTOTvGUO2R8qL8S4oW6HA%3D%3D&trk=public_jobs_jserp-result_search-card
4726,2024-04-10,0 days 07:30:45,Pharmacy Relationship Manager,Healthcare Marketing Group LLC,"Durham, NC",https://www.linkedin.com/jobs/view/pharmacy-relationship-manager-at-healthcare-marketing-group-llc-3887693300?position=44&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=iMW4TcoiWlX7MlVYTATeAg%3D%3D&trk=public_jobs_jserp-result_search-card
4727,2024-04-10,0 days 07:30:45,"Intake Coordinator Winston Salem, NC",Health Connect America,"Winston-Salem, NC",https://www.linkedin.com/jobs/view/intake-coordinator-winston-salem-nc-at-health-connect-america-3889382215?position=45&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=Oq%2Fhm7y7Xm8dwAQSeX4mFg%3D%3D&trk=public_jobs_jserp-result_search-card
4728,2024-04-10,0 days 07:30:45,RN Home Health Part Time,CenterWell Home Health,"Advance, NC",https://www.linkedin.com/jobs/view/rn-home-health-part-time-at-centerwell-home-health-3889379969?position=47&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=u37uHe7nNAaPa1euNBQKbQ%3D%3D&trk=public_jobs_jserp-result_search-card
4729,2024-04-10,0 days 07:30:45,Quality Control Lab Assistant,Novonesis,"Franklinton, NC",https://www.linkedin.com/jobs/view/quality-control-lab-assistant-at-novonesis-3887120674?position=49&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=ZMSZE9XrwMvwhX7TdiA2vg%3D%3D&trk=public_jobs_jserp-result_search-card
4730,2024-04-10,0 days 07:30:45,"Analyst, Case Mgmt Specialist (Remote)",CVS Health,"Raleigh, NC",https://www.linkedin.com/jobs/view/analyst-case-mgmt-specialist-remote-at-cvs-health-3887121451?position=52&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=kkZY4he4jVo8E3E7BksHoA%3D%3D&trk=public_jobs_jserp-result_search-card
4731,2024-04-10,0 days 07:30:45,Health Data Strategist,InstantServe LLC,"Raleigh, NC",https://www.linkedin.com/jobs/view/health-data-strategist-at-instantserve-llc-3887635475?position=54&pageNum=0&refId=JXDByEOZ9fpbE9zlO29Vnw%3D%3D&trackingId=hHEHMJf3ZdwTRZ8PFml9ow%3D%3D&trk=public_jobs_jserp-result_search-card
